Loaded 3528 per-layer records from src/TruncGPTQ/tuning_results_20260314_120603/

=== METHOD / EPS SUMMARY ===
threshold_method       eps  runs  mean_rel_err  std_rel_err   mean_rank  mean_ppl
             abs  0.000001     1      0.056252     0.022662 5180.698413  8.819189
   layer_11.mlp.down_proj     0.084682     0.168676       0.083994      8252     12288
layer_26.self_attn.o_proj     0.072371     0.156192       0.083821      2383      4096
layer_11.self_attn.v_proj     0.071624     0.152868       0.081244      2228      4096
layer_30.self_attn.o_proj     0.064031     0.145076       0.081045      2083      4096
layer_15.self_attn.v_proj     0.058253     0.138587       0.080334      1384      4096
 layer_3.self_attn.v_proj     0.045468     0.125543       0.080075      1333      4080
layer_14.self_attn.v_proj     0.060814     0.140507       0.079693      1744      4096
   layer_13.mlp.down_proj     0.089776     0.167846       0.078070      8387     12288
 layer_0.self_attn.q_proj     0.019907     0.097685       0.077778       807      4096
     layer_24.mlp.up_proj     0.068650     0.145969       0.077319      2734      4094
 layer_5.self_attn.v_proj     0.052626     0.128556       0.075930      1706      4093
     layer_25.mlp.up_proj     0.070141     0.145266       0.075125      2794      4094
   layer_23.mlp.down_proj     0.085527     0.160557       0.075030      5438     12288
 layer_6.self_attn.o_proj     0.065117     0.139801       0.074684      2366      4096
     layer_23.mlp.up_proj     0.069550     0.143394       0.073844      2842      4095
layer_16.self_attn.v_proj     0.066484     0.140018       0.073534      1707      4096
 layer_7.self_attn.v_proj     0.067106     0.139711       0.072605      1445      4093
    layer_5.mlp.down_proj     0.077505     0.149609       0.072104      6913     12288
     layer_27.mlp.up_proj     0.070579     0.142633       0.072054      2873      4094
layer_26.self_attn.k_proj     0.044762     0.116637       0.071875      1072      4096
layer_30.self_attn.k_proj     0.042779     0.113262       0.070483      1094      4096
     layer_22.mlp.up_proj     0.072041     0.142159       0.070118      2913      4095
layer_22.self_attn.k_proj     0.038191     0.107587       0.069396       754      4096
layer_13.self_attn.v_proj     0.059929     0.129299       0.069370      1690      4096
     layer_28.mlp.up_proj     0.068558     0.137922       0.069364      2875      4094
     layer_26.mlp.up_proj     0.071489     0.140786       0.069297      2940      4094
     layer_35.mlp.up_proj     0.040162     0.109398       0.069236      1538      4095
layer_27.self_attn.k_proj     0.044544     0.113555       0.069011       961      4096
 layer_0.self_attn.k_proj     0.017770     0.086755       0.068985       807      4096
   layer_33.mlp.down_proj     0.081495     0.150187       0.068692      5061     12288
